MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
[Warning: A task was unexpectedly found in state: Unavailable.] 
[> In parallel.cluster.Local/deriveJobStateFromTasks (line 29)
In parallel.cluster/Local/getJobState (line 174)
In parallel.cluster/CJSCluster/hGetJobState (line 375)
In parallel.internal.cluster/CJSJobMixin/hGetStateEnum (line 175)
In parallel/Job/get.StateEnum (line 247)
In parallel/Job/get.State (line 239)
In parallel.internal.customattr.CustomGetSet>iVectorisedGetHelper (line 128)
In parallel.internal.customattr.CustomGetSet>@(a,b,c)iVectorisedGetHelper(obj,a,b,c) (line 102)
In parallel.internal.customattr/CustomGetSet/doVectorisedGet (line 103)
In parallel.internal.customattr/CustomGetSet/hVectorisedGet (line 76)
In parallel.internal.customattr.GetSetImpl>iAccessProperties (line 322)
In parallel.internal.customattr.GetSetImpl>iGetAllPropertiesVec (line 264)
In parallel.internal.customattr/GetSetImpl/getImpl (line 133)
In parallel.internal.customattr.CustomGetSet>iHetFunGetFunction (line 154)
In parallel.internal.customattr.CustomGetSet>@(o)iHetFunGetFunction(o,props) (line 139)
In parallel.internal.cluster.hetfun (line 46)
In parallel.internal.customattr.CustomGetSet>iHetFunGetProperty (line 139)
In parallel.internal.customattr/CustomGetSet/get (line 38)
In parallel.internal.pool/AbstractInteractiveClient/pRemoveOldJobs (line 211)
In parallel.internal.pool/AbstractInteractiveClient/start (line 103)
In parallel.internal.pool.AbstractClusterPool>iStartClient (line 831)
In parallel.internal.pool/AbstractClusterPool/hBuildPool (line 585)
In parallel.internal.pool.doParpool (line 22)
In parpool (line 123)
In parallel.internal.parpool.getOrCreateCurrentPool (line 17)
In parallel.internal.pool/PoolArrayManager/getOrAutoCreateWithCleanup (line 44)
In pctTryCreatePoolIfNecessary (line 28)
In parallel_function (line 423)] 
Connected to the parallel pool (number of workers: 12).
jj1 = 30, max_th = -6.121728e-02, time=2025-04-10 19:57:02 
jj1 = 37, max_th = 1.240825e+00, time=2025-04-10 20:43:20 
jj1 = 32, max_th = 2.224548e+00, time=2025-04-10 20:49:02 
jj1 = 13, max_th = 1.876327e+00, time=2025-04-10 20:49:59 
jj1 = 58, max_th = 2.344078e+00, time=2025-04-10 20:52:25 
jj1 = 27, max_th = 2.444596e+00, time=2025-04-10 20:55:21 
jj1 = 22, max_th = 2.159999e+00, time=2025-04-10 20:58:07 
jj1 = 43, max_th = 1.617722e+00, time=2025-04-10 21:01:12 
jj1 = 53, max_th = 1.915544e+00, time=2025-04-10 21:01:13 
jj1 = 42, max_th = 9.699302e-01, time=2025-04-10 21:02:01 
jj1 = 46, max_th = 2.102074e+00, time=2025-04-10 21:02:16 
jj1 = 8, max_th = 1.993190e+00, time=2025-04-10 21:03:46 
jj1 = 18, max_th = 2.324803e+00, time=2025-04-10 21:04:07 
jj1 = 1, max_th = 2.033770e+00, time=2025-04-10 21:04:08 
jj1 = 57, max_th = 1.334940e+00, time=2025-04-10 21:07:09 
jj1 = 36, max_th = 1.819957e+00, time=2025-04-10 21:08:02 
jj1 = 31, max_th = 1.733516e+00, time=2025-04-10 21:08:59 
jj1 = 26, max_th = 2.559779e+00, time=2025-04-10 21:10:52 
jj1 = 12, max_th = 1.827185e+00, time=2025-04-10 21:14:35 
jj1 = 41, max_th = 2.794640e+00, time=2025-04-10 21:14:57 
jj1 = 21, max_th = 2.049614e+00, time=2025-04-10 21:15:20 
jj1 = 52, max_th = 1.533508e+00, time=2025-04-10 21:15:34 
jj1 = 7, max_th = 1.850541e+00, time=2025-04-10 21:21:12 
jj1 = 17, max_th = 1.593377e+00, time=2025-04-10 21:22:17 
jj1 = 56, max_th = 1.557533e+00, time=2025-04-10 21:24:03 
jj1 = 450, max_th = 2.040032e+00, time=2025-04-10 21:26:17 
jj1 = 333, max_th = 1.470375e+00, time=2025-04-10 21:27:10 
jj1 = 99, max_th = 1.827571e+00, time=2025-04-10 21:29:24 
jj1 = 372, max_th = 2.173798e+00, time=2025-04-10 21:31:19 
jj1 = 51, max_th = 1.637250e+00, time=2025-04-10 21:32:04 
jj1 = 16, max_th = 2.590964e+00, time=2025-04-10 21:34:51 
jj1 = 411, max_th = 1.825603e+00, time=2025-04-10 21:35:39 
jj1 = 294, max_th = 2.110573e+00, time=2025-04-10 21:36:59 
jj1 = 255, max_th = 2.002835e+00, time=2025-04-10 21:37:57 
jj1 = 489, max_th = 1.467456e+00, time=2025-04-10 21:39:54 
jj1 = 98, max_th = 2.520980e+00, time=2025-04-10 21:40:43 
jj1 = 332, max_th = 1.510389e+00, time=2025-04-10 21:41:27 
jj1 = 11, max_th = 2.470375e+00, time=2025-04-10 21:43:38 
jj1 = 449, max_th = 1.714917e+00, time=2025-04-10 21:45:29 
jj1 = 6, max_th = 1.953621e+00, time=2025-04-10 21:45:57 
jj1 = 528, max_th = 2.599270e+00, time=2025-04-10 21:47:20 
jj1 = 254, max_th = 1.545774e+00, time=2025-04-10 21:52:57 
jj1 = 293, max_th = 1.646018e+00, time=2025-04-10 21:54:04 
jj1 = 138, max_th = 2.570687e+00, time=2025-04-10 21:57:59 
jj1 = 488, max_th = 1.952156e+00, time=2025-04-10 21:59:54 
jj1 = 410, max_th = 1.939826e+00, time=2025-04-10 22:00:50 
jj1 = 97, max_th = 1.870664e+00, time=2025-04-10 22:01:37 
jj1 = 331, max_th = 2.154944e+00, time=2025-04-10 22:03:58 
jj1 = 527, max_th = 1.947028e+00, time=2025-04-10 22:04:11 
jj1 = 216, max_th = 2.194098e+00, time=2025-04-10 22:04:21 
jj1 = 487, max_th = 9.393319e-01, time=2025-04-10 22:04:41 
jj1 = 215, max_th = -1.192634e-01, time=2025-04-10 22:05:53 
jj1 = 137, max_th = 2.418334e+00, time=2025-04-10 22:08:16 
jj1 = 177, max_th = 1.829392e+00, time=2025-04-10 22:08:50 
jj1 = 448, max_th = 1.619522e+00, time=2025-04-10 22:11:05 
jj1 = 371, max_th = 1.707557e+00, time=2025-04-10 22:13:14 
jj1 = 292, max_th = 1.518612e+00, time=2025-04-10 22:13:19 
jj1 = 136, max_th = 2.650474e+00, time=2025-04-10 22:14:57 
jj1 = 447, max_th = 2.881752e+00, time=2025-04-10 22:17:46 
jj1 = 253, max_th = 2.109249e+00, time=2025-04-10 22:18:12 
jj1 = 409, max_th = 1.607177e+00, time=2025-04-10 22:19:33 
jj1 = 135, max_th = 2.864491e+00, time=2025-04-10 22:20:22 
jj1 = 526, max_th = 1.706663e+00, time=2025-04-10 22:22:37 
jj1 = 96, max_th = 1.538373e+00, time=2025-04-10 22:25:42 
jj1 = 176, max_th = 1.882573e+00, time=2025-04-10 22:26:08 
jj1 = 330, max_th = 2.171619e+00, time=2025-04-10 22:26:27 
jj1 = 214, max_th = 2.168036e+00, time=2025-04-10 22:27:19 
jj1 = 446, max_th = 2.484524e+00, time=2025-04-10 22:28:27 
jj1 = 525, max_th = 2.753842e+00, time=2025-04-10 22:29:22 
jj1 = 486, max_th = 1.913804e+00, time=2025-04-10 22:30:21 
jj1 = 370, max_th = 1.513858e+00, time=2025-04-10 22:31:13 
jj1 = 252, max_th = 2.202587e+00, time=2025-04-10 22:33:06 
jj1 = 369, max_th = 8.492169e-01, time=2025-04-10 22:33:56 
jj1 = 95, max_th = 2.561935e+00, time=2025-04-10 22:39:20 
jj1 = 291, max_th = 1.916790e+00, time=2025-04-10 22:39:48 
jj1 = 408, max_th = 1.909730e+00, time=2025-04-10 22:40:09 
jj1 = 213, max_th = 1.365210e+00, time=2025-04-10 22:42:20 
jj1 = 407, max_th = 6.807156e-01, time=2025-04-10 22:42:32 
jj1 = 329, max_th = 1.715349e+00, time=2025-04-10 22:43:08 
jj1 = 290, max_th = 5.085523e-01, time=2025-04-10 22:43:41 
jj1 = 175, max_th = 1.653628e+00, time=2025-04-10 22:45:10 
jj1 = 174, max_th = 2.606635e-01, time=2025-04-10 22:46:11 
jj1 = 212, max_th = 6.191125e-01, time=2025-04-10 22:48:15 
jj1 = 134, max_th = 2.076379e+00, time=2025-04-10 22:48:16 
jj1 = 524, max_th = 2.372868e+00, time=2025-04-10 22:48:52 
jj1 = 173, max_th = 3.237178e-03, time=2025-04-10 22:49:38 
jj1 = 445, max_th = 1.697881e+00, time=2025-04-10 22:49:39 
jj1 = 485, max_th = 1.663871e+00, time=2025-04-10 22:51:31 
jj1 = 289, max_th = 2.448840e+00, time=2025-04-10 22:53:37 
jj1 = 444, max_th = 2.687318e+00, time=2025-04-10 22:54:18 
jj1 = 94, max_th = 2.669222e+00, time=2025-04-10 22:54:25 
jj1 = 406, max_th = 1.229916e+00, time=2025-04-10 22:55:18 
jj1 = 251, max_th = 2.283702e+00, time=2025-04-10 23:00:41 
jj1 = 368, max_th = 2.072248e+00, time=2025-04-10 23:00:45 
jj1 = 172, max_th = 2.559202e+00, time=2025-04-10 23:03:56 
jj1 = 93, max_th = 2.458438e+00, time=2025-04-10 23:04:33 
jj1 = 133, max_th = 2.374184e+00, time=2025-04-10 23:05:12 
jj1 = 405, max_th = 2.594080e+00, time=2025-04-10 23:05:50 
jj1 = 211, max_th = 1.924983e+00, time=2025-04-10 23:10:26 
jj1 = 288, max_th = 2.565542e+00, time=2025-04-10 23:11:49 
jj1 = 171, max_th = 1.324017e+00, time=2025-04-10 23:12:26 
jj1 = 523, max_th = 1.782634e+00, time=2025-04-10 23:13:27 
jj1 = 328, max_th = 1.958949e+00, time=2025-04-10 23:14:23 
jj1 = 404, max_th = 1.341598e+00, time=2025-04-10 23:15:29 
jj1 = 484, max_th = 1.869235e+00, time=2025-04-10 23:17:45 
jj1 = 367, max_th = 1.339316e+00, time=2025-04-10 23:18:00 
jj1 = 92, max_th = 2.744959e+00, time=2025-04-10 23:18:37 
jj1 = 210, max_th = 2.719968e+00, time=2025-04-10 23:18:53 
jj1 = 132, max_th = 1.608449e+00, time=2025-04-10 23:26:55 
jj1 = 250, max_th = 2.067017e+00, time=2025-04-10 23:29:09 
jj1 = 170, max_th = 2.436241e+00, time=2025-04-10 23:29:11 
jj1 = 131, max_th = 3.088928e+00, time=2025-04-10 23:30:21 
jj1 = 443, max_th = 1.920918e+00, time=2025-04-10 23:31:45 
jj1 = 327, max_th = 1.852269e+00, time=2025-04-10 23:33:03 
jj1 = 130, max_th = 2.932063e+00, time=2025-04-10 23:34:47 
jj1 = 403, max_th = 1.482724e+00, time=2025-04-10 23:34:49 
jj1 = 249, max_th = 7.601983e-01, time=2025-04-10 23:36:21 
jj1 = 483, max_th = 2.438525e+00, time=2025-04-10 23:36:58 
jj1 = 522, max_th = 2.358335e+00, time=2025-04-10 23:38:17 
jj1 = 248, max_th = 3.103182e+00, time=2025-04-10 23:38:34 
jj1 = 209, max_th = 1.773117e+00, time=2025-04-10 23:41:09 
jj1 = 442, max_th = 2.346142e+00, time=2025-04-10 23:43:28 
jj1 = 482, max_th = 1.112622e+00, time=2025-04-10 23:44:44 
jj1 = 366, max_th = 1.328084e+00, time=2025-04-10 23:48:09 
jj1 = 91, max_th = 1.793388e+00, time=2025-04-10 23:49:17 
jj1 = 326, max_th = 2.118034e+00, time=2025-04-10 23:51:11 
jj1 = 129, max_th = 2.352212e+00, time=2025-04-10 23:52:29 
jj1 = 208, max_th = 1.239996e+00, time=2025-04-10 23:53:24 
jj1 = 325, max_th = 3.009516e+00, time=2025-04-10 23:54:21 
jj1 = 169, max_th = 2.177107e+00, time=2025-04-10 23:55:45 
jj1 = 287, max_th = 2.159100e+00, time=2025-04-11 00:01:26 
jj1 = 247, max_th = 1.688731e+00, time=2025-04-11 00:01:55 
jj1 = 207, max_th = 1.192522e+00, time=2025-04-11 00:02:02 
jj1 = 402, max_th = 2.134353e+00, time=2025-04-11 00:02:36 
jj1 = 521, max_th = 1.661148e+00, time=2025-04-11 00:04:31 
jj1 = 206, max_th = 9.413949e-01, time=2025-04-11 00:08:14 
jj1 = 441, max_th = 1.878788e+00, time=2025-04-11 00:09:16 
jj1 = 481, max_th = 1.465792e+00, time=2025-04-11 00:10:51 
jj1 = 324, max_th = 1.661118e+00, time=2025-04-11 00:10:59 
jj1 = 365, max_th = 1.758999e+00, time=2025-04-11 00:13:12 
jj1 = 128, max_th = 1.889191e+00, time=2025-04-11 00:15:05 
jj1 = 401, max_th = 1.081823e+00, time=2025-04-11 00:15:12 
jj1 = 90, max_th = 1.737812e+00, time=2025-04-11 00:16:08 
jj1 = 168, max_th = 2.092599e+00, time=2025-04-11 00:19:07 
jj1 = 480, max_th = 1.265124e+00, time=2025-04-11 00:19:56 
jj1 = 364, max_th = 3.065619e+00, time=2025-04-11 00:22:53 
jj1 = 520, max_th = 2.175526e+00, time=2025-04-11 00:23:44 
jj1 = 246, max_th = 1.767426e+00, time=2025-04-11 00:25:37 
jj1 = 323, max_th = 2.167619e+00, time=2025-04-11 00:28:01 
jj1 = 89, max_th = 1.351571e+00, time=2025-04-11 00:28:18 
jj1 = 205, max_th = 1.852688e+00, time=2025-04-11 00:29:49 
jj1 = 479, max_th = 1.243713e+00, time=2025-04-11 00:30:32 
jj1 = 400, max_th = 2.540135e+00, time=2025-04-11 00:30:51 
jj1 = 286, max_th = 2.142389e+00, time=2025-04-11 00:35:27 
jj1 = 127, max_th = 1.413260e+00, time=2025-04-11 00:35:29 
jj1 = 440, max_th = 1.947828e+00, time=2025-04-11 00:35:45 
jj1 = 167, max_th = 1.520957e+00, time=2025-04-11 00:37:31 
jj1 = 439, max_th = 1.258553e+00, time=2025-04-11 00:39:52 
jj1 = 88, max_th = 2.759198e+00, time=2025-04-11 00:40:20 
jj1 = 519, max_th = 2.481840e+00, time=2025-04-11 00:41:33 
jj1 = 245, max_th = 2.203530e+00, time=2025-04-11 00:45:26 
jj1 = 478, max_th = 1.523618e+00, time=2025-04-11 00:46:36 
jj1 = 204, max_th = 1.845676e+00, time=2025-04-11 00:49:14 
jj1 = 322, max_th = 2.040007e+00, time=2025-04-11 00:50:04 
jj1 = 438, max_th = 7.707048e-01, time=2025-04-11 00:50:20 
jj1 = 363, max_th = 1.941480e+00, time=2025-04-11 00:53:38 
jj1 = 166, max_th = 2.489846e+00, time=2025-04-11 00:54:11 
jj1 = 437, max_th = 2.521638e+00, time=2025-04-11 00:57:30 
jj1 = 285, max_th = 1.799772e+00, time=2025-04-11 00:57:36 
jj1 = 399, max_th = 1.180118e+00, time=2025-04-11 00:57:39 
jj1 = 87, max_th = 1.329959e+00, time=2025-04-11 00:57:49 
jj1 = 244, max_th = 2.557935e+00, time=2025-04-11 00:59:45 
jj1 = 126, max_th = 1.928360e+00, time=2025-04-11 01:01:32 
jj1 = 518, max_th = 2.003901e+00, time=2025-04-11 01:04:15 
jj1 = 243, max_th = 1.125067e+00, time=2025-04-11 01:07:35 
jj1 = 203, max_th = 1.767382e+00, time=2025-04-11 01:09:04 
jj1 = 477, max_th = 1.945214e+00, time=2025-04-11 01:09:22 
jj1 = 86, max_th = 2.492203e+00, time=2025-04-11 01:11:16 
jj1 = 321, max_th = 1.824608e+00, time=2025-04-11 01:13:34 
jj1 = 436, max_th = 1.488723e+00, time=2025-04-11 01:13:53 
jj1 = 242, max_th = 2.448912e-01, time=2025-04-11 01:14:21 
jj1 = 362, max_th = 1.616966e+00, time=2025-04-11 01:15:01 
jj1 = 476, max_th = 1.201744e+00, time=2025-04-11 01:17:15 
jj1 = 165, max_th = 2.264945e+00, time=2025-04-11 01:17:36 
jj1 = 125, max_th = 1.862941e+00, time=2025-04-11 01:18:40 
jj1 = 398, max_th = 2.095488e+00, time=2025-04-11 01:19:25 
jj1 = 284, max_th = 1.794649e+00, time=2025-04-11 01:20:50 
jj1 = 361, max_th = 1.349419e+00, time=2025-04-11 01:22:17 
jj1 = 517, max_th = 1.711529e+00, time=2025-04-11 01:28:21 
jj1 = 124, max_th = 2.674681e+00, time=2025-04-11 01:30:40 
jj1 = 435, max_th = 2.214349e+00, time=2025-04-11 01:32:40 
jj1 = 202, max_th = 1.956085e+00, time=2025-04-11 01:32:53 
jj1 = 241, max_th = 1.370935e+00, time=2025-04-11 01:33:43 
jj1 = 320, max_th = 1.929181e+00, time=2025-04-11 01:33:51 
jj1 = 434, max_th = 7.832619e-01, time=2025-04-11 01:35:33 
jj1 = 85, max_th = 1.625094e+00, time=2025-04-11 01:35:52 
jj1 = 516, max_th = 2.982052e+00, time=2025-04-11 01:37:26 
jj1 = 164, max_th = 1.893424e+00, time=2025-04-11 01:40:05 
jj1 = 475, max_th = 2.239137e+00, time=2025-04-11 01:40:54 
jj1 = 360, max_th = 2.067500e+00, time=2025-04-11 01:40:56 
jj1 = 397, max_th = 1.976802e+00, time=2025-04-11 01:42:49 
jj1 = 201, max_th = 2.620141e+00, time=2025-04-11 01:44:03 
jj1 = 240, max_th = 1.600433e+00, time=2025-04-11 01:47:34 
jj1 = 123, max_th = 2.400432e+00, time=2025-04-11 01:47:35 
jj1 = 163, max_th = 2.776290e+00, time=2025-04-11 01:47:39 
jj1 = 474, max_th = 1.258947e+00, time=2025-04-11 01:50:18 
jj1 = 359, max_th = 2.612018e+00, time=2025-04-11 01:51:44 
jj1 = 319, max_th = 2.290455e+00, time=2025-04-11 01:55:04 
jj1 = 283, max_th = 2.480156e+00, time=2025-04-11 01:57:10 
jj1 = 433, max_th = 2.111620e+00, time=2025-04-11 01:58:01 
jj1 = 473, max_th = 8.852766e-01, time=2025-04-11 01:59:23 
jj1 = 122, max_th = 1.757323e+00, time=2025-04-11 02:00:31 
jj1 = 200, max_th = 2.407650e+00, time=2025-04-11 02:01:47 
jj1 = 84, max_th = 1.666359e+00, time=2025-04-11 02:02:21 
jj1 = 515, max_th = 2.271248e+00, time=2025-04-11 02:03:57 
jj1 = 162, max_th = 2.305690e+00, time=2025-04-11 02:05:40 
jj1 = 396, max_th = 1.808478e+00, time=2025-04-11 02:06:13 
jj1 = 239, max_th = 1.728211e+00, time=2025-04-11 02:07:07 
jj1 = 514, max_th = 2.786989e+00, time=2025-04-11 02:09:52 
jj1 = 161, max_th = 2.990721e+00, time=2025-04-11 02:10:24 
jj1 = 358, max_th = 2.155647e+00, time=2025-04-11 02:14:30 
jj1 = 318, max_th = 1.887796e+00, time=2025-04-11 02:18:42 
jj1 = 395, max_th = 1.854055e+00, time=2025-04-11 02:20:14 
jj1 = 472, max_th = 2.173013e+00, time=2025-04-11 02:21:01 
jj1 = 199, max_th = 1.606934e+00, time=2025-04-11 02:21:37 
jj1 = 83, max_th = 1.891213e+00, time=2025-04-11 02:21:38 
jj1 = 432, max_th = 1.965983e+00, time=2025-04-11 02:22:27 
jj1 = 121, max_th = 2.226325e+00, time=2025-04-11 02:23:10 
jj1 = 513, max_th = 2.567942e+00, time=2025-04-11 02:25:39 
jj1 = 282, max_th = 1.810741e+00, time=2025-04-11 02:26:31 
jj1 = 357, max_th = 2.540819e+00, time=2025-04-11 02:29:17 
jj1 = 82, max_th = 3.026956e+00, time=2025-04-11 02:29:32 
jj1 = 512, max_th = 2.832297e+00, time=2025-04-11 02:31:33 
jj1 = 198, max_th = 1.734960e+00, time=2025-04-11 02:33:20 
jj1 = 160, max_th = 1.943241e+00, time=2025-04-11 02:34:27 
jj1 = 238, max_th = 1.968733e+00, time=2025-04-11 02:35:48 
jj1 = 317, max_th = 1.568077e+00, time=2025-04-11 02:36:20 
jj1 = 394, max_th = 1.571344e+00, time=2025-04-11 02:40:42 
jj1 = 159, max_th = 2.385045e+00, time=2025-04-11 02:42:31 
jj1 = 471, max_th = 1.903072e+00, time=2025-04-11 02:43:05 
jj1 = 431, max_th = 1.916189e+00, time=2025-04-11 02:43:17 
jj1 = 237, max_th = 1.353193e+00, time=2025-04-11 02:44:39 
jj1 = 281, max_th = 1.751434e+00, time=2025-04-11 02:47:15 
jj1 = 356, max_th = 2.303312e+00, time=2025-04-11 02:48:21 
jj1 = 81, max_th = 1.747053e+00, time=2025-04-11 02:50:26 
jj1 = 393, max_th = 1.274431e+00, time=2025-04-11 02:51:31 
jj1 = 120, max_th = 2.038924e+00, time=2025-04-11 02:51:43 
jj1 = 430, max_th = 1.153899e+00, time=2025-04-11 02:52:24 
jj1 = 158, max_th = 2.484940e+00, time=2025-04-11 02:52:56 
jj1 = 392, max_th = 5.801084e-01, time=2025-04-11 02:55:08 
jj1 = 316, max_th = 2.143913e+00, time=2025-04-11 02:55:18 
jj1 = 511, max_th = 1.907810e+00, time=2025-04-11 02:56:51 
jj1 = 315, max_th = 1.047531e+00, time=2025-04-11 03:00:03 
jj1 = 197, max_th = 1.680844e+00, time=2025-04-11 03:01:01 
jj1 = 236, max_th = 2.198057e+00, time=2025-04-11 03:02:31 
jj1 = 470, max_th = 1.828821e+00, time=2025-04-11 03:05:25 
jj1 = 280, max_th = 2.365871e+00, time=2025-04-11 03:08:14 
jj1 = 80, max_th = 2.305217e+00, time=2025-04-11 03:10:50 
jj1 = 157, max_th = 1.755392e+00, time=2025-04-11 03:11:01 
jj1 = 429, max_th = 1.583185e+00, time=2025-04-11 03:11:27 
jj1 = 119, max_th = 1.651513e+00, time=2025-04-11 03:13:48 
jj1 = 355, max_th = 1.886372e+00, time=2025-04-11 03:15:21 
jj1 = 391, max_th = 1.967819e+00, time=2025-04-11 03:19:57 
jj1 = 314, max_th = 2.320750e+00, time=2025-04-11 03:21:21 
jj1 = 235, max_th = 1.673763e+00, time=2025-04-11 03:21:24 
jj1 = 196, max_th = 1.819772e+00, time=2025-04-11 03:24:08 
jj1 = 469, max_th = 2.585222e+00, time=2025-04-11 03:29:11 
jj1 = 510, max_th = 2.024817e+00, time=2025-04-11 03:30:57 
jj1 = 509, max_th = 5.818334e-01, time=2025-04-11 03:31:29 
jj1 = 156, max_th = 1.839227e+00, time=2025-04-11 03:32:14 
jj1 = 390, max_th = 1.528260e+00, time=2025-04-11 03:32:18 
jj1 = 234, max_th = 1.158223e+00, time=2025-04-11 03:33:12 
jj1 = 428, max_th = 1.641513e+00, time=2025-04-11 03:33:52 
jj1 = 79, max_th = 1.717876e+00, time=2025-04-11 03:35:30 
jj1 = 155, max_th = 8.620901e-01, time=2025-04-11 03:36:36 
jj1 = 313, max_th = 2.298080e+00, time=2025-04-11 03:39:14 
jj1 = 508, max_th = 1.113144e+00, time=2025-04-11 03:40:11 
jj1 = 279, max_th = 1.831639e+00, time=2025-04-11 03:42:10 
jj1 = 427, max_th = 2.644556e+00, time=2025-04-11 03:42:40 
jj1 = 195, max_th = 1.856379e+00, time=2025-04-11 03:44:12 
jj1 = 354, max_th = 2.066754e+00, time=2025-04-11 03:44:12 
jj1 = 468, max_th = 2.369901e+00, time=2025-04-11 03:45:15 
jj1 = 78, max_th = 1.155567e+00, time=2025-04-11 03:45:23 
jj1 = 426, max_th = 2.807696e+00, time=2025-04-11 03:46:58 
jj1 = 507, max_th = 1.037367e+00, time=2025-04-11 03:48:26 
jj1 = 233, max_th = 1.748991e+00, time=2025-04-11 03:50:34 
