MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
[Warning: A task was unexpectedly found in state: Unavailable.] 
[> In parallel.cluster.Local/deriveJobStateFromTasks (line 29)
In parallel.cluster/Local/getJobState (line 174)
In parallel.cluster/CJSCluster/hGetJobState (line 375)
In parallel.internal.cluster/CJSJobMixin/hGetStateEnum (line 175)
In parallel/Job/get.StateEnum (line 247)
In parallel/Job/get.State (line 239)
In parallel.internal.customattr.CustomGetSet>iVectorisedGetHelper (line 128)
In parallel.internal.customattr.CustomGetSet>@(a,b,c)iVectorisedGetHelper(obj,a,b,c) (line 102)
In parallel.internal.customattr/CustomGetSet/doVectorisedGet (line 103)
In parallel.internal.customattr/CustomGetSet/hVectorisedGet (line 76)
In parallel.internal.customattr.GetSetImpl>iAccessProperties (line 322)
In parallel.internal.customattr.GetSetImpl>iGetAllPropertiesVec (line 264)
In parallel.internal.customattr/GetSetImpl/getImpl (line 133)
In parallel.internal.customattr.CustomGetSet>iHetFunGetFunction (line 154)
In parallel.internal.customattr.CustomGetSet>@(o)iHetFunGetFunction(o,props) (line 139)
In parallel.internal.cluster.hetfun (line 46)
In parallel.internal.customattr.CustomGetSet>iHetFunGetProperty (line 139)
In parallel.internal.customattr/CustomGetSet/get (line 38)
In parallel.internal.pool/AbstractInteractiveClient/pRemoveOldJobs (line 211)
In parallel.internal.pool/AbstractInteractiveClient/start (line 103)
In parallel.internal.pool.AbstractClusterPool>iStartClient (line 831)
In parallel.internal.pool/AbstractClusterPool/hBuildPool (line 585)
In parallel.internal.pool.doParpool (line 22)
In parpool (line 123)
In parallel.internal.parpool.getOrCreateCurrentPool (line 17)
In parallel.internal.pool/PoolArrayManager/getOrAutoCreateWithCleanup (line 44)
In pctTryCreatePoolIfNecessary (line 28)
In parallel_function (line 423)] 
Connected to the parallel pool (number of workers: 12).
jj1 = 30, max_th = -5.821075e-01, time=2025-04-07 16:20:51 
jj1 = 399, max_th = 1.930005e+00, time=2025-04-07 21:54:41 
jj1 = 89, max_th = 1.802609e+00, time=2025-04-07 21:54:52 
jj1 = 322, max_th = 2.613459e+00, time=2025-04-07 21:56:36 
jj1 = 276, max_th = 2.958545e+00, time=2025-04-07 21:57:02 
jj1 = 516, max_th = 2.010057e+00, time=2025-04-07 21:59:35 
jj1 = 88, max_th = 2.622250e+00, time=2025-04-07 22:05:46 
jj1 = 165, max_th = 1.965753e+00, time=2025-04-07 22:06:03 
jj1 = 434, max_th = 1.937474e+00, time=2025-04-07 22:08:21 
jj1 = 398, max_th = 2.669873e+00, time=2025-04-07 22:08:57 
jj1 = 124, max_th = 1.960708e+00, time=2025-04-07 22:12:06 
jj1 = 203, max_th = 2.145293e+00, time=2025-04-07 22:12:13 
jj1 = 473, max_th = 2.270104e+00, time=2025-04-07 22:12:54 
jj1 = 239, max_th = 1.858150e+00, time=2025-04-07 22:13:47 
jj1 = 321, max_th = 2.262444e+00, time=2025-04-07 22:14:25 
jj1 = 354, max_th = 1.941086e+00, time=2025-04-07 22:17:18 
jj1 = 164, max_th = 1.553979e+00, time=2025-04-07 22:19:40 
jj1 = 320, max_th = 2.777595e+00, time=2025-04-07 22:21:04 
jj1 = 275, max_th = 2.174956e+00, time=2025-04-07 22:21:13 
jj1 = 515, max_th = 1.945047e+00, time=2025-04-07 22:21:24 
jj1 = 472, max_th = 2.049968e+00, time=2025-04-07 22:24:50 
jj1 = 163, max_th = 7.635165e-01, time=2025-04-07 22:26:06 
jj1 = 433, max_th = 1.733844e+00, time=2025-04-07 22:27:04 
jj1 = 123, max_th = 1.509118e+00, time=2025-04-07 22:27:05 
jj1 = 122, max_th = 8.955355e-01, time=2025-04-07 22:30:29 
jj1 = 274, max_th = 2.666973e+00, time=2025-04-07 22:30:45 
jj1 = 121, max_th = 2.998252e-01, time=2025-04-07 22:30:50 
jj1 = 87, max_th = 2.207021e+00, time=2025-04-07 22:31:23 
jj1 = 397, max_th = 2.015035e+00, time=2025-04-07 22:31:42 
jj1 = 162, max_th = 2.716607e+00, time=2025-04-07 22:33:18 
jj1 = 353, max_th = 1.568229e+00, time=2025-04-07 22:33:23 
jj1 = 202, max_th = 2.002026e+00, time=2025-04-07 22:37:58 
jj1 = 471, max_th = 2.294576e+00, time=2025-04-07 22:40:29 
jj1 = 514, max_th = 1.445939e+00, time=2025-04-07 22:41:09 
jj1 = 319, max_th = 1.945353e+00, time=2025-04-07 22:41:27 
jj1 = 238, max_th = 2.269150e+00, time=2025-04-07 22:41:28 
jj1 = 352, max_th = 1.350475e+00, time=2025-04-07 22:43:46 
jj1 = 470, max_th = 2.992499e+00, time=2025-04-07 22:44:28 
jj1 = 161, max_th = 1.316078e+00, time=2025-04-07 22:46:08 
jj1 = 396, max_th = 2.572222e+00, time=2025-04-07 22:48:12 
jj1 = 432, max_th = 2.330062e+00, time=2025-04-07 22:49:51 
jj1 = 273, max_th = 1.877858e+00, time=2025-04-07 22:52:04 
jj1 = 120, max_th = 2.270682e+00, time=2025-04-07 22:52:42 
jj1 = 237, max_th = 2.633191e+00, time=2025-04-07 22:52:45 
jj1 = 513, max_th = 1.367961e+00, time=2025-04-07 22:53:50 
jj1 = 86, max_th = 1.941520e+00, time=2025-04-07 22:54:10 
jj1 = 469, max_th = 1.373769e+00, time=2025-04-07 22:55:33 
jj1 = 119, max_th = 2.754833e+00, time=2025-04-07 22:58:36 
jj1 = 318, max_th = 1.941713e+00, time=2025-04-07 22:58:51 
jj1 = 395, max_th = 2.447392e+00, time=2025-04-07 23:00:51 
jj1 = 512, max_th = 1.278395e+00, time=2025-04-07 23:01:40 
jj1 = 351, max_th = 1.744632e+00, time=2025-04-07 23:03:10 
jj1 = 160, max_th = 2.153818e+00, time=2025-04-07 23:06:21 
jj1 = 511, max_th = 1.049069e+00, time=2025-04-07 23:07:47 
jj1 = 201, max_th = 2.082095e+00, time=2025-04-07 23:07:53 
jj1 = 431, max_th = 2.252554e+00, time=2025-04-07 23:13:26 
jj1 = 118, max_th = 2.190989e+00, time=2025-04-07 23:13:30 
jj1 = 272, max_th = 1.734139e+00, time=2025-04-07 23:13:32 
jj1 = 510, max_th = 2.859753e+00, time=2025-04-07 23:14:16 
jj1 = 468, max_th = 1.708632e+00, time=2025-04-07 23:15:25 
jj1 = 236, max_th = 1.680987e+00, time=2025-04-07 23:16:21 
jj1 = 85, max_th = 2.073732e+00, time=2025-04-07 23:18:40 
jj1 = 394, max_th = 2.261820e+00, time=2025-04-07 23:18:43 
jj1 = 393, max_th = -8.081785e-01, time=2025-04-07 23:19:03 
jj1 = 317, max_th = 1.881078e+00, time=2025-04-07 23:22:02 
jj1 = 350, max_th = 1.873084e+00, time=2025-04-07 23:23:24 
jj1 = 117, max_th = 1.585378e+00, time=2025-04-07 23:30:44 
jj1 = 392, max_th = 1.487409e+00, time=2025-04-07 23:31:24 
jj1 = 430, max_th = 1.899077e+00, time=2025-04-07 23:32:06 
jj1 = 316, max_th = 1.302174e+00, time=2025-04-07 23:33:08 
jj1 = 467, max_th = 2.246744e+00, time=2025-04-07 23:33:10 
jj1 = 200, max_th = 1.882737e+00, time=2025-04-07 23:33:27 
jj1 = 271, max_th = 1.962839e+00, time=2025-04-07 23:36:29 
jj1 = 235, max_th = 2.332402e+00, time=2025-04-07 23:36:51 
jj1 = 349, max_th = 1.558898e+00, time=2025-04-07 23:36:54 
jj1 = 509, max_th = 2.044672e+00, time=2025-04-07 23:37:42 
jj1 = 159, max_th = 2.279643e+00, time=2025-04-07 23:40:56 
jj1 = 84, max_th = 2.036334e+00, time=2025-04-07 23:42:03 
jj1 = 315, max_th = 1.279446e+00, time=2025-04-07 23:43:47 
jj1 = 116, max_th = 2.150727e+00, time=2025-04-07 23:49:01 
jj1 = 466, max_th = 2.439039e+00, time=2025-04-07 23:49:59 
jj1 = 429, max_th = 1.773021e+00, time=2025-04-07 23:51:05 
jj1 = 234, max_th = 1.395265e+00, time=2025-04-07 23:53:08 
jj1 = 391, max_th = 1.778147e+00, time=2025-04-07 23:56:38 
jj1 = 115, max_th = 1.089401e+00, time=2025-04-07 23:58:06 
jj1 = 314, max_th = 2.459142e+00, time=2025-04-07 23:59:03 
jj1 = 158, max_th = 1.444065e+00, time=2025-04-07 23:59:07 
jj1 = 199, max_th = 1.979908e+00, time=2025-04-08 00:00:21 
jj1 = 348, max_th = 1.985193e+00, time=2025-04-08 00:02:00 
jj1 = 465, max_th = 1.117913e+00, time=2025-04-08 00:02:39 
